Index,Model Form,Number of Free Parameters,Log-Likelihood,Deviance,Degrees of Freedom,Chi-Square Significance,AIC,BIC
1.1,Intercept + x2 + x3 + x4 + x5 + x6 + x7 + x8 + x9 + x10 ,20,-2225.2713497027926,538.432419909389,2,1.2047184950796933e-117,4490.542699405585,4634.749506845109
1.2,Intercept + x1 + x3 + x4 + x5 + x6 + x7 + x8 + x9 + x10 ,20,-1956.3310606384975,0.5518417807988953,2,0.7588729625236008,3952.662121276995,4096.868928716519
1.3,Intercept + x1 + x2 + x4 + x5 + x6 + x7 + x8 + x9 + x10 ,20,-1956.2803627435142,0.45044599083212233,2,0.7983381731553577,3952.5607254870283,4096.767532926552
1.4,Intercept + x1 + x2 + x3 + x5 + x6 + x7 + x8 + x9 + x10 ,20,-5780.494364984947,7648.878450473699,2,0.0,11600.988729969895,11745.195537409418
1.5,Intercept + x1 + x2 + x3 + x4 + x6 + x7 + x8 + x9 + x10 ,20,-1956.4701936937226,0.8301078912490993,2,0.6603046591969457,3952.9403873874453,4097.147194826969
1.6,Intercept + x1 + x2 + x3 + x4 + x5 + x7 + x8 + x9 + x10 ,20,-1958.0835552791132,4.056831062030142,2,0.1315437831571482,3956.1671105582263,4100.37391799775
1.7,Intercept + x1 + x2 + x3 + x4 + x5 + x6 + x8 + x9 + x10 ,20,-1956.0744283318356,0.03857716747506856,2,0.9808962506879186,3952.1488566636713,4096.355664103195
1.8,Intercept + x1 + x2 + x3 + x4 + x5 + x6 + x7 + x9 + x10 ,20,-1958.1147646196723,4.11924974314843,2,0.12750179047077537,3956.2295292393446,4100.436336678868
1.9,Intercept + x1 + x2 + x3 + x4 + x5 + x6 + x7 + x8 + x10 ,20,-1956.9532307012526,1.7961819063089024,2,0.4073465616020978,3953.906461402505,4098.113268842028
1.10,Intercept + x1 + x2 + x3 + x4 + x5 + x6 + x7 + x8 + x9 ,20,-8111.136792127912,12310.163304759626,2,0.0,16262.273584255823,16406.480391695346
2.1,Intercept + x2 + x3 + x4 + x5 + x6 + x8 + x9 + x10 ,18,-2225.335416847673,538.5219770316749,2,1.1519629087225722e-117,4486.670833695346,4616.456960390918
2.2,Intercept + x1 + x3 + x4 + x5 + x6 + x8 + x9 + x10 ,18,-1956.3499972186696,0.5511377736679606,2,0.7591401355323132,3948.6999944373392,4078.4861211329107
2.3,Intercept + x1 + x2 + x4 + x5 + x6 + x8 + x9 + x10 ,18,-1956.30232999277,0.45580332186864325,2,0.7962025538009445,3948.60465998554,4078.3907866811114
2.4,Intercept + x1 + x2 + x3 + x5 + x6 + x8 + x9 + x10 ,18,-5780.8490963133845,7649.549335963098,2,0.0,11597.698192626769,11727.48431932234
