group_size,homeowner,married_couple,Prob (insurance = 0),Prob (insurance = 1),Prob (insurance = 2),Odd Value(Prob (insurance = 1)/Prob (insurance = 2))
1,0,0,0.22703725597004817,0.6275928478960139,0.1453698961339379,4.317213292343385
1,0,1,0.2143906649936539,0.6374669358560597,0.14814239915028643,4.303068800778411
1,1,0,0.20558785905937507,0.6541277133010495,0.1402844276395754,4.662867606243949
1,1,1,0.19384233236741008,0.6634140238344745,0.1427436437981159,4.647590646997558
2,0,0,0.23844132577110924,0.6144618299640963,0.1470968442647944,4.177260450659166
2,0,1,0.22534177501426517,0.6246345878773447,0.15002363710839034,4.163574486772731
2,1,0,0.21628069002327233,0.6415276173738086,0.1421916926029192,4.51170954948347
2,1,1,0.20407861928807933,0.6511275239635324,0.14479385674838807,4.496927829576451
3,0,0,0.2502010270387506,0.6010837615950708,0.14871521136617863,4.041844516597792
3,0,1,0.2366531041579169,0.6115458857331436,0.15180101010893965,4.02860221611351
3,1,0,0.22734215767137722,0.6286517281094568,0.1440061142191658,4.365451644314901
3,1,1,0.21468423640876452,0.6385592917494187,0.14675647184181714,4.351149109374174
4,0,0,0.26230750115563045,0.5874746662054526,0.15021783263891703,3.910818415398008
4,0,1,0.24831789551087252,0.5982151227830166,0.15346698170611064,3.8980053959007215
4,1,0,0.23876704406937133,0.6155127373556403,0.14572021857498835,4.223935040550974
4,1,1,0.22565589174327708,0.6257203429795338,0.14862376527718915,4.2100961566445365
